ds,yhat,yhat_lower,yhat_upper
2012-02-17,14.155094422340419,11.69269275058065,16.743537116365122
2012-02-18,14.217068592061713,11.814198871184646,16.79517888564273
2012-02-19,14.445201893924988,11.864521089773849,17.091882360867363
2012-02-20,14.535439773605665,12.063499511867134,17.26088962161105
2012-02-21,14.72873834327928,11.911871190284064,17.35783476175408
2012-02-22,14.762583638584708,12.399163049884644,17.493550572880277
2012-02-23,14.867618117572068,12.162528904924034,17.2646292171387
2012-02-24,14.959340069543678,12.45236388744923,17.7187520762484
2012-02-25,14.969160772661672,12.380360448758225,17.548112215733017
2012-02-26,15.142090767266918,12.515725144834109,17.743590656106523
2012-02-27,15.17516333365535,12.678658208166294,17.791952751775636
2012-02-28,15.310453504349969,12.744015817662069,17.914300002847813
2012-02-29,15.286572654216569,12.854726948674566,18.12510874144935
2012-03-01,15.335270386465641,12.689843707626814,17.957000967638272
2012-03-02,15.373109976243482,12.798898472896516,17.888781139743507
2012-03-03,15.33250278240214,12.817751824166775,17.892823878852944
2012-03-04,15.45937352952391,12.817490686921506,17.927276596300004
2012-03-05,15.45156503417888,12.881915108207988,18.004092760521452
2012-03-06,15.551841128824414,12.822376968439515,18.073193871569586
2012-03-07,15.499368178089822,13.04494663759134,18.016509911362206
2012-03-08,15.526307176718289,13.07388464967295,18.011693438637028
2012-03-09,15.549482876034197,13.011599690457775,18.15997445548831
2012-03-10,15.501415444982815,12.868674730563466,18.12732803183486
2012-03-11,15.627986572426819,13.000041078966841,18.11303809059168
2012-03-12,15.626848499646345,12.863617403258807,18.30504334678142
2012-03-13,15.74043456538206,13.20475674002275,18.19877291864796
2012-03-14,15.707451406881392,13.144985567825772,18.328536917426348
2012-03-15,15.75948448260381,13.204647551002036,18.299197999036554
2012-03-16,15.812682977144707,13.302954316073574,18.11493583993706
2012-03-17,15.798809156666865,13.457416138115688,18.2960738050692
2012-03-18,15.962923604651332,13.471752122496579,18.448359776012886
2012-03-19,16.001814324200083,13.533734675811573,18.68867101948184
2012-03-20,16.15702777432822,13.319848409285337,18.876436565051847
2012-03-21,16.166381470411267,13.583450934760819,18.660162283629436
2012-03-22,16.260589316233542,13.866386639938838,18.936047223785792
2012-03-23,16.354965257896023,13.77851044105308,18.92440863501177
2012-03-24,16.380489897288992,13.905356201163418,19.009292597289104
2012-03-25,16.58151111459832,14.038072864144118,19.21628020806577
2012-03-26,16.654186364887757,14.130678492940326,19.07680158553204
2012-03-27,16.839524461288708,14.128438140387864,19.44214986237305
2012-03-28,16.87490629149663,14.133906897889442,19.27225445648392
2012-03-29,16.99071552608174,14.306349644477873,19.517920305092616
2012-03-30,17.10204487539655,14.742801296128004,19.675785198741508
2012-03-31,17.139762573624118,14.716649803414208,19.747578950250553
2012-04-01,17.348210251407,14.701760028172101,19.97737140999576
2012-04-02,17.42364004003429,14.90073258640599,19.862533181797268
2012-04-03,17.6072489568369,14.857963786354347,20.041628565537216
2012-04-04,17.63669030639192,15.159015519373247,20.20781815727776
2012-04-05,17.742693485174854,15.16618758700129,20.431943945221636
2012-04-06,17.840758106255965,15.142550565734437,20.42749816310707
2012-04-07,17.862207501984372,15.182018342156065,20.3153609278822
2012-04-08,18.051873153609264,15.541474565056035,20.87533755201898
2012-04-09,18.106518275147877,15.522871889927147,20.573227041802895
2012-04-10,18.267858971243356,15.74144568351878,20.799161357416896
2012-04-11,18.2740630492881,15.575336689417519,20.769003170001458
2012-04-12,18.356358185314335,15.737880350934477,21.03058215553836
2012-04-13,18.430715630348825,15.849115087664186,20.983784531758623
2012-04-14,18.428894736841624,15.792158363283185,21.049486695711476
2012-04-15,18.59612002242464,16.106493106092273,21.090167656739755
2012-04-16,18.629499110010038,15.898346787153011,21.216202573181953
2012-04-17,18.771040017625964,16.200718899148285,21.384539523043394
2012-04-18,18.759147874266308,16.318734231334943,21.530821732241602
2012-04-19,18.825232701737804,16.36196138637124,21.12673566086847
2012-04-20,18.885394337963454,16.401016350361285,21.512301848130697
2012-04-21,18.87146962374696,16.330353375753464,21.785791802180153
2012-04-22,19.02871337289967,16.507416801209356,21.450666674187865
2012-04-23,19.05422123540545,16.61593189446221,21.693792534638522
2012-04-24,19.189952674310774,16.577174837963007,21.677510932406033
2012-04-25,19.174233865638264,16.452352913456412,21.862723759028256
2012-04-26,19.238371889515772,16.744406171609924,21.65228845979217
2012-04-27,19.298346020733444,16.924243497741273,21.910134499314257
2012-04-28,19.285860987059984,16.837479323252886,21.834479983872757
2012-04-29,19.44603348359419,16.59309769472363,21.92373915174807
2012-04-30,19.47581985078224,17.00068321944684,22.088664136681196
2012-05-01,19.617042970791154,16.903150006116597,22.234374052414207
2012-05-02,19.60789806678171,17.023111487210745,22.232423141697648
2012-05-03,19.679568693453813,17.32294088516158,22.31976393232745
2012-05-04,19.747918694401125,16.93738054762244,22.32089766197753
2012-05-05,19.744545009613905,16.919655853334167,22.36674399231836
2012-05-06,19.914462683094335,17.32203407858961,22.36730931881626
2012-05-07,19.954530083921146,17.488232779878068,22.47706853946247
2012-05-08,20.10647254116734,17.423256965000316,22.611580682559786
2012-05-09,20.108384257435176,17.513047274576454,22.628853230795038
2012-05-10,20.19133999761172,17.53550514500977,22.806683806258352
2012-05-11,20.271082557057177,17.80938535153887,22.83098240648415
2012-05-12,20.279071133498434,17.647501535362053,22.92077769392663
2012-05-13,20.460162197128394,18.013775528989452,23.006854342940304
2012-05-14,20.51103111160691,17.86509717305999,23.07037522244071
2012-05-15,20.673192931850714,18.224102122453445,23.20489782669936
2012-05-16,20.68450244674692,18.227152536545052,23.26860640314091
2012-05-17,20.7757651370382,18.066124474452362,23.337594696890402
2012-05-18,20.862425189812825,18.28424310953627,23.63047919975036
2012-05-19,20.8756157891621,18.174206904631628,23.401606776417893
2012-05-20,21.0598433265497,18.493903274142987,23.676175279393185
2012-05-21,21.111413783660566,18.517238055656293,23.75034384196449
2012-05-22,21.271459663412337,18.809542166784038,23.755469567618807
2012-05-23,21.277447437173027,18.69473058415151,23.969732378804203
2012-05-24,21.359797030362188,18.76092228639177,23.93296665113037
2012-05-25,21.4335792953504,18.766768174733958,23.785702573090916
2012-05-26,21.429576459147714,18.884431144792906,24.054452505501022
2012-05-27,21.591976924107595,19.049506523341872,24.070442997010968
2012-05-28,21.61681238317544,18.95004692386531,24.245325135266917
2012-05-29,21.74499531656928,19.365211459621346,24.245902520512903
2012-05-30,21.713836520496322,19.184996373815224,24.155703338597448
2012-05-31,21.753673873417128,19.03942938521005,24.344201573344137
2012-06-01,21.77957798236232,19.13772488682987,24.46648346696493
2012-06-02,21.7224194100043,19.274810371605582,24.537039598486427
2012-06-03,21.826568602445462,19.24214441349189,24.490027304651743
2012-06-04,21.78833625774276,19.2438006864275,24.42366574573309
