STATION,TEMP,PRCP,ELEVATION,LATITUDE,LONGITUDE,CLUSTER
76390099999,67.65232120451694,0.6488474637031726,1790.0,25.3666666,-101.0166666,0
76393099999,74.23126011560694,0.9680323699421964,515.0,25.7333333,-100.3,2
76394099999,74.24247263592319,16.743863269334287,449.87999999999994,25.865571999999997,-100.237239,3
76394399999,72.36486825595985,21.47194658540957,389.5299999999999,25.778489,-100.106878,3
76399399999,77.31905704516825,15.477684002159437,7.620000000000001,25.769894,-97.525311,3
76402099999,74.80912332214766,0.20440016778523487,48.0,25.0,-111.633333,2
76405099999,78.77528047157254,0.037497623122266587,18.0,24.1666666,-110.3,2
76405599999,77.02355579476139,3.697082884822389,21.03,24.072694,-110.362475,2
76405699999,78.35905667144907,4.465439383070301,113.99,23.15185,-109.721044,2
76412099999,79.82412186379928,2.0721505376344083,32.91,24.764547,-107.474717,2
76423099999,66.24829840415305,0.2722668717554316,1872.0,24.05,-104.6,0
76423599999,65.97149004841313,15.438174645866953,1860.49,24.124194,-104.52801399999998,0
76459399999,74.84163828643126,12.886605126366732,11.58,23.161356,-106.26607199999998,2
76471099999,64.73989623156744,0.12032768978700163,2351.0,23.6333333,-103.65,0
76491099999,76.39423076923077,0.22238846153846156,336.0,23.742372,-99.169994,1
76491599999,77.70161974546856,12.116791361357501,231.95,23.704139,-98.956611,3
76499099999,78.11997523730912,0.17868757738340899,21.0,23.7666666,-98.2,1
76519099999,73.14048243314106,0.17354483481908756,1673.0,22.1,-103.2666666,0
76525099999,58.63025210084034,0.16748341441839895,2612.0,22.7833333,-102.5666666,0
76525599999,61.8652658045977,15.174547413793102,2176.57,22.897112,-102.68689,0
76539099999,63.66236559139785,0.9398817204301075,1839.46,22.254303,-100.930806,0
76543099999,78.83493083003953,0.4456422924901186,104.0,22.0,-98.7666666,1
76548099999,77.59784881383193,0.2143365500603136,25.0,22.2,-97.85,1
76549399999,77.04272401433693,16.08152329749104,24.38,22.29645,-97.865931,3
76556099999,73.04997311346119,0.4797383043556193,920.49,21.419453,-104.842581,0
76571099999,65.87387096774194,2.6502222222222223,1862.93,21.705461,-102.31786900000002,0
76573099999,66.87663157894737,0.44869473684210526,1942.0,21.35,-101.9166666,0
76577099999,68.28386060306475,0.3771774592189817,1999.0,21.0,-101.2833333,0
76577399999,67.40726196880043,16.46320423166577,1815.3799999999999,20.9833333,-101.4833333,0
76581099999,72.84283751962323,0.1090129513343799,983.0,21.9333333,-99.9833333,0
76585099999,78.23956043956044,0.5716602316602316,132.0,21.3166666,-98.8166666,1
76595099999,78.86411543287328,25.092012905538628,6.09,21.036528,-86.877083,3
76601399999,77.60705818965516,18.983778735632182,7.01,20.680083,-105.254167,3
76601599999,69.11823708206687,11.262066869300911,1625.4899999999998,20.755833,-103.465278,0
76612099999,69.53981909970551,0.329339503575936,1551.0,20.6666666,-103.3833333,0
76612799999,78.77786767349875,18.07709996404171,151.48,20.602671,-97.46083900000002,3
76613399999,67.66487988526353,21.174462172821798,1528.87,20.5218,-103.31116699999998,0
76625099999,64.36513712134791,0.8002079225667682,1919.02,20.617289,-100.185658,0
76632099999,61.234331337325344,0.20235307163450875,2435.0,20.1333333,-98.75,0
76634099999,62.239617887885785,0.17099097207642242,2181.0,20.0833333,-98.3666666,0
76640099999,77.03409359024775,0.7990916240660637,28.0,20.95,-97.4,1
76644099999,80.13014381591563,3.8179175455417065,11.58,20.936981,-89.657672,1
76647099999,80.44224719101123,0.23359176029962544,27.0,20.6833333,-88.2,1
76654099999,81.1909018036072,1.0113026052104208,3.0,19.05,-104.3166666,1
76654699999,69.24465442764578,18.068747300215982,1602.63,19.396692,-102.039056,0
76656099999,70.60182094081942,0.346081942336874,1515.0,19.7166666,-103.4666666,0
76658099999,77.17703477949085,8.309956973825743,751.94,19.277011,-103.577397,1
76662099999,69.84826737360349,0.1967525089945086,1562.0,19.9833333,-102.3166666,0
76665099999,66.67702728127941,0.10516274694261525,1913.0,19.7,-101.1833333,0
76665599999,64.19643241305127,25.796446755109354,1838.85,19.849944,-101.0255,0
76675099999,57.29383561643836,0.4577625570776256,2720.0,19.2833333,-99.6833333,0
76675399999,56.093242516580034,38.06986377487004,2580.43,19.337072,-99.566008,0
76679399999,63.792005735794945,38.802400071697434,2229.91,19.436303,-99.072097,3
76680099999,64.2895134228188,0.4502789429530201,2303.0,19.4,-99.1833333,0
76681099999,65.99473684210525,0.2918796992481203,2278.0,19.3166666,-99.1833333,0
76683099999,62.58968660968661,0.39889268755935425,2248.0,19.3166666,-98.25,0
76685099999,63.40385511923973,4.466801147570378,2243.63,19.158144,-98.371447,0
76687099999,66.37472283813747,0.30365668883961566,1389.0,19.55,-96.91666660000001,0
76691399999,78.70288685673302,20.138337816030123,27.429999999999996,19.145931,-96.187267,3
76695099999,80.83866284280337,2.975635418533787,10.36,19.816794,-90.500314,1
76698099999,82.03997566909976,0.20970316301703162,10.0,19.5666667,-88.05,1
76726099999,75.47344703770197,2.13116157989228,1303.62,18.835082,-99.262158,0
76727099999,70.4289318303811,0.09997852925389157,995.78,18.7,-99.1666666,0
76737099999,67.77504531722055,0.5527653575025177,1259.0,18.85,-97.1,0
76738099999,67.05781250000001,0.2524445564516129,882.7,18.9,-96.9333333,0
76738399999,79.45814132104455,16.512158218125958,10.97,18.103419,-94.580681,3
76743099999,81.52259596359319,1.0643074792243765,16.0,17.9833333,-92.9333333,1
76743399999,80.66749148287609,27.03974717590102,14.02,17.9833333,-92.8166666,3
76750099999,81.53060931899641,1.2713835125448028,11.88,18.504667,-88.326847,1
76750199999,84.3488717091517,8.398710823234433,31.080000000000002,20.641294,-88.446219,1
76750299999,82.70042796005706,7.290178316690442,49.98,16.449336,-95.093697,1
76750399999,78.06764121999639,4.240691210972749,210.0,22.94845,-109.938733,2
76762099999,73.23999568314268,0.3247895532052666,1265.0,17.55,-99.5,0
76773099999,70.88974757281554,0.31707378640776696,1606.0,17.788947,-97.771869,0
76775099999,70.76178578345923,0.3996862289366647,1518.0,17.05,-96.7166666,0
76775599999,70.41684948750225,23.182094946951985,1520.64,17.0,-96.73333330000001,3
76805099999,83.00176852033799,0.6138612694045982,3.0,16.75,-99.75,1
76805699999,81.2880108010801,17.67949414941494,3.96,16.756892,-99.75358600000001,3
76833099999,84.71323040380048,0.8852897862232778,11.0,16.1666666,-95.1833333,1
76840099999,84.29849931787176,0.5150321574741766,48.0,16.2333333,-93.9,1
76843099999,78.2172253091952,1.32262950349525,566.2276393618928,16.734146872199318,-93.12429780062736,1
76845099999,61.190931234776095,0.3751883080382237,2116.0,16.75,-92.6333333,0
76848099999,66.55495983935744,0.3246947791164659,1646.0,16.25,-92.1333333,0
76848599999,83.09172066234702,12.0938282937365,141.42,15.775316999999998,-96.26257199999999,1
76855099999,83.19008403361345,0.10474579831932773,46.0,15.6833333,-96.4833333,1
76855699999,81.86954961421138,9.531503678449669,89.61,15.876861,-97.08911700000002,1
76856099999,81.75209804736186,0.04278770253427503,-999.9,15.666667,-96.5,1
76903099999,83.18700332746134,1.6930436484634959,118.0,14.9166667,-92.25,1
76904399999,81.25144291091593,21.6925112027245,29.56,14.794338999999999,-92.370025,3
99843799999,77.83089500860585,0.0,9.1,19.6,-96.3833333,1
